総合危険度ランク,火災危険度ランク,建物倒壊危険度ランク,災害時活動困難度ランク,町丁目名
1,1,1,1,915
1,1,1,1,916
1,1,1,1,917
2,2,2,1,918
3,3,2,2,919
2,3,3,1,920
2,3,3,1,921
2,3,3,1,922
3,3,3,2,923
3,3,2,2,924
1,1,2,1,925
4,4,3,3,926
3,3,2,2,927
3,3,2,3,928
3,4,2,2,929
2,2,2,2,930
5,5,2,4,931
1,1,1,1,932
2,2,1,2,933
4,4,2,3,934
3,3,2,3,935
1,1,1,1,936
1,1,1,2,937
1,1,1,1,938
1,1,1,2,939
3,2,2,3,940
1,1,1,1,941
2,1,1,2,942
2,1,1,3,943
1,2,2,1,944
4,4,4,2,945
2,1,2,3,946
1,1,1,3,947
2,1,1,3,948
2,1,1,3,949
3,3,2,4,950
4,4,3,3,951
2,2,3,2,952
2,2,3,1,953
2,3,2,2,954
3,4,3,2,955
2,2,2,2,956
3,3,3,2,957
2,2,2,2,958
4,4,3,3,959
4,4,3,3,960
3,3,3,2,961
4,4,3,3,962
2,3,2,1,963
3,4,3,1,964
3,3,2,2,965
4,4,3,2,966
3,4,3,2,967
3,4,3,2,968
4,4,3,2,969
3,3,3,2,970
2,3,2,2,971
4,5,3,2,972
5,5,2,4,973
4,4,2,3,974
3,3,2,2,975
3,3,3,1,976
1,1,2,1,977
1,1,1,1,978
1,1,1,2,979
2,3,2,2,980
2,1,2,3,981
2,2,2,1,982
1,1,1,1,983
2,2,2,2,984
3,3,3,3,985
4,4,3,3,986
4,4,3,4,987
2,4,2,1,988
4,4,3,2,989
4,5,3,2,990
2,2,2,2,991
2,3,2,1,992
3,4,2,3,993
4,5,3,2,994
3,3,3,2,995
2,2,2,2,996
2,1,2,1,997
3,3,3,2,998
4,3,2,4,999
1,1,1,2,1000
2,2,2,1,1001
4,3,3,4,1002
1,1,2,1,1003
1,1,1,2,1004
2,1,1,2,1005
2,2,2,2,1006
1,1,1,1,1007
3,2,3,2,1008
1,1,1,1,1009
1,1,1,2,1010
1,1,1,1,1011
1,1,1,1,1012
3,4,3,1,1013
4,4,3,2,1014
3,3,3,2,1015
2,2,2,2,1016
3,3,2,2,1017
1,2,1,2,1018
1,1,1,2,1019
3,3,3,2,1020
2,2,3,1,1021
4,5,3,2,1022
3,4,3,1,1023
2,2,3,1,1024
1,1,1,1,1025
1,1,2,1,1026
2,3,3,1,1027
3,3,3,2,1028
1,1,1,1,1029
3,3,4,2,1030
3,2,3,1,1031
2,2,3,1,1032
3,3,3,3,1033
3,3,3,2,1034
1,3,2,1,1035
1,1,1,1,1036
1,1,1,1,1037
1,1,1,1,1038
1,1,1,1,1039
1,1,1,2,1040
4,4,3,3,1041
4,4,3,4,1042
3,3,2,3,1043
4,5,3,3,1044
5,5,3,2,1045
4,5,3,2,1046
1,1,1,1,1047
1,1,1,1,1048
1,1,1,1,1049
1,1,1,1,1050
1,1,1,1,1051
4,3,2,4,1052
2,2,1,4,1053
1,1,1,1,1054
1,1,1,1,1055
2,1,1,2,1056
1,1,1,2,1057
1,1,1,1,1058
1,1,1,1,1059
3,3,3,2,1060
3,2,2,3,1061
3,4,2,2,1062
2,2,2,2,1063
2,2,2,1,1064
2,1,1,3,1065
2,1,1,5,1066
2,1,1,5,1067
2,2,2,2,1068
2,3,2,1,1069
2,2,2,2,1070
1,1,1,1,1071
2,2,2,2,1072
2,2,2,2,1073
3,2,2,3,1074
2,2,2,1,1075
1,1,1,1,1076
2,2,2,1,1077
2,1,2,1,1078
2,2,2,2,1079
